"Timestamp","Location","Cornering","Mileage"
2023-01-01,"Rural",0.73,51
2023-01-01 00:01:00,"Rural",0.98,90
2023-01-01 00:02:00,"Rural",0.41,93
2023-01-01 00:03:00,"Suburban",0.81,33
2023-01-01 00:04:00,"Rural",0.28,148
2023-01-01 00:05:00,"Suburban",0.55,44
2023-01-01 00:06:00,"Suburban",0.64,70
2023-01-01 00:07:00,"Suburban",0.91,72
2023-01-01 00:08:00,"Rural",0.12,33
2023-01-01 00:09:00,"Urban",0.81,136
2023-01-01 00:10:00,"Suburban",0.62,51
2023-01-01 00:11:00,"Suburban",0.67,76
2023-01-01 00:12:00,"Urban",0.84,51
2023-01-01 00:13:00,"Suburban",0.07,70
2023-01-01 00:14:00,"Rural",0.43,117
2023-01-01 00:15:00,"Urban",0.75,53
2023-01-01 00:16:00,"Rural",0.35,18
2023-01-01 00:17:00,"Rural",0.05,135
2023-01-01 00:18:00,"Urban",0.36,40
2023-01-01 00:19:00,"Urban",0.77,43
2023-01-01 00:20:00,"Urban",0.69,119
2023-01-01 00:21:00,"Urban",0.74,25
2023-01-01 00:22:00,"Rural",0.1,83
2023-01-01 00:23:00,"Suburban",0.51,21
2023-01-01 00:24:00,"Rural",0.2,149
2023-01-01 00:25:00,"Suburban",0.13,114
2023-01-01 00:26:00,"Urban",0.07,90
2023-01-01 00:27:00,"Suburban",0.22,14
2023-01-01 00:28:00,"Rural",0.39,37
2023-01-01 00:29:00,"Suburban",0.95,17
2023-01-01 00:30:00,"Urban",0.48,25
2023-01-01 00:31:00,"Rural",0.23,21
2023-01-01 00:32:00,"Rural",0.53,134
2023-01-01 00:33:00,"Urban",0.79,142
2023-01-01 00:34:00,"Rural",0.43,33
2023-01-01 00:35:00,"Suburban",0.22,124
2023-01-01 00:36:00,"Urban",0.03,84
2023-01-01 00:37:00,"Rural",0.46,142
2023-01-01 00:38:00,"Urban",0.1,39
2023-01-01 00:39:00,"Urban",0.6,45
2023-01-01 00:40:00,"Suburban",0.38,132
2023-01-01 00:41:00,"Rural",0.61,70
2023-01-01 00:42:00,"Rural",0.61,113
2023-01-01 00:43:00,"Urban",0.01,59
2023-01-01 00:44:00,"Rural",0.57,81
2023-01-01 00:45:00,"Urban",0.83,94
2023-01-01 00:46:00,"Rural",0.15,139
2023-01-01 00:47:00,"Suburban",0.87,112
2023-01-01 00:48:00,"Urban",0.85,9
2023-01-01 00:49:00,"Suburban",0.26,126
2023-01-01 00:50:00,"Urban",0.52,67
2023-01-01 00:51:00,"Urban",0.12,146
2023-01-01 00:52:00,"Rural",0.36,14
2023-01-01 00:53:00,"Urban",0.43,97
2023-01-01 00:54:00,"Suburban",0.61,89
2023-01-01 00:55:00,"Urban",0.86,47
2023-01-01 00:56:00,"Urban",0.8,121
2023-01-01 00:57:00,"Rural",0.23,33
2023-01-01 00:58:00,"Urban",0.73,96
2023-01-01 00:59:00,"Suburban",0.52,75
2023-01-01 01:00:00,"Urban",0.35,29
2023-01-01 01:01:00,"Rural",0.15,146
2023-01-01 01:02:00,"Urban",0.12,55
2023-01-01 01:03:00,"Rural",0.8,104
2023-01-01 01:04:00,"Suburban",0.81,43
2023-01-01 01:05:00,"Rural",0.16,1
2023-01-01 01:06:00,"Suburban",0.15,49
2023-01-01 01:07:00,"Suburban",0.73,23
2023-01-01 01:08:00,"Rural",0.25,63
2023-01-01 01:09:00,"Suburban",0.5,11
2023-01-01 01:10:00,"Suburban",0.87,115
2023-01-01 01:11:00,"Rural",0.07,122
2023-01-01 01:12:00,"Rural",0.3,23
2023-01-01 01:13:00,"Urban",0.61,45
2023-01-01 01:14:00,"Suburban",0.4,49
2023-01-01 01:15:00,"Suburban",0.37,37
2023-01-01 01:16:00,"Urban",0.68,138
2023-01-01 01:17:00,"Suburban",0.97,130
2023-01-01 01:18:00,"Urban",0.91,119
2023-01-01 01:19:00,"Urban",0.38,17
2023-01-01 01:20:00,"Suburban",0.16,119
2023-01-01 01:21:00,"Rural",0.13,128
2023-01-01 01:22:00,"Rural",0.77,136
2023-01-01 01:23:00,"Urban",1,91
2023-01-01 01:24:00,"Suburban",0.49,91
2023-01-01 01:25:00,"Urban",0.31,78
2023-01-01 01:26:00,"Suburban",0.92,124
2023-01-01 01:27:00,"Urban",0.91,139
2023-01-01 01:28:00,"Rural",0.83,44
2023-01-01 01:29:00,"Rural",0.19,31
2023-01-01 01:30:00,"Suburban",0.48,19
2023-01-01 01:31:00,"Rural",0.58,21
2023-01-01 01:32:00,"Urban",0.23,26
2023-01-01 01:33:00,"Suburban",0.22,111
2023-01-01 01:34:00,"Suburban",0.1,32
2023-01-01 01:35:00,"Rural",0.19,137
2023-01-01 01:36:00,"Suburban",0.16,9
2023-01-01 01:37:00,"Urban",0.65,112
2023-01-01 01:38:00,"Rural",0.33,128
2023-01-01 01:39:00,"Rural",0.62,17
2023-01-01 01:40:00,"Rural",0.11,37
2023-01-01 01:41:00,"Suburban",0.24,43
2023-01-01 01:42:00,"Suburban",0.44,6
2023-01-01 01:43:00,"Rural",0.55,143
2023-01-01 01:44:00,"Urban",0.3,21
2023-01-01 01:45:00,"Urban",0.37,117
2023-01-01 01:46:00,"Rural",0.98,18
2023-01-01 01:47:00,"Suburban",0.64,77
2023-01-01 01:48:00,"Suburban",0.86,4
2023-01-01 01:49:00,"Suburban",0.57,56
2023-01-01 01:50:00,"Suburban",0.69,100
2023-01-01 01:51:00,"Suburban",0.3,78
2023-01-01 01:52:00,"Suburban",0.29,89
2023-01-01 01:53:00,"Rural",0.93,7
2023-01-01 01:54:00,"Suburban",0.98,6
2023-01-01 01:55:00,"Urban",0.78,115
2023-01-01 01:56:00,"Suburban",0.39,142
2023-01-01 01:57:00,"Suburban",0.88,143
2023-01-01 01:58:00,"Suburban",0.49,37
2023-01-01 01:59:00,"Rural",0.44,19
2023-01-01 02:00:00,"Suburban",0.03,46
2023-01-01 02:01:00,"Rural",0.34,100
2023-01-01 02:02:00,"Suburban",0.86,48
2023-01-01 02:03:00,"Rural",0.91,110
2023-01-01 02:04:00,"Urban",0.48,1
2023-01-01 02:05:00,"Rural",0.38,22
2023-01-01 02:06:00,"Rural",0.15,94
2023-01-01 02:07:00,"Rural",0.17,144
2023-01-01 02:08:00,"Urban",0.5,63
2023-01-01 02:09:00,"Rural",0.75,84
2023-01-01 02:10:00,"Rural",0.86,55
2023-01-01 02:11:00,"Suburban",0.49,97
2023-01-01 02:12:00,"Suburban",0.53,114
2023-01-01 02:13:00,"Suburban",0.19,4
2023-01-01 02:14:00,"Rural",0.62,94
2023-01-01 02:15:00,"Rural",0.22,114
2023-01-01 02:16:00,"Rural",0.86,39
2023-01-01 02:17:00,"Suburban",0.59,136
2023-01-01 02:18:00,"Urban",0.18,56
2023-01-01 02:19:00,"Suburban",0.09,98
2023-01-01 02:20:00,"Urban",0.4,8
2023-01-01 02:21:00,"Rural",0.09,14
2023-01-01 02:22:00,"Rural",0.76,150
2023-01-01 02:23:00,"Suburban",0.48,53
2023-01-01 02:24:00,"Urban",0.08,22
2023-01-01 02:25:00,"Rural",0.93,22
2023-01-01 02:26:00,"Urban",0.88,36
2023-01-01 02:27:00,"Rural",0.91,27
2023-01-01 02:28:00,"Suburban",0.14,142
2023-01-01 02:29:00,"Suburban",0.12,142
2023-01-01 02:30:00,"Urban",0.61,95
2023-01-01 02:31:00,"Rural",0.26,95
2023-01-01 02:32:00,"Suburban",0.57,14
2023-01-01 02:33:00,"Urban",0.33,93
2023-01-01 02:34:00,"Rural",0.28,103
2023-01-01 02:35:00,"Rural",0.3,13
2023-01-01 02:36:00,"Rural",0.59,39
2023-01-01 02:37:00,"Urban",0.77,55
2023-01-01 02:38:00,"Suburban",0.42,60
2023-01-01 02:39:00,"Suburban",0.09,67
2023-01-01 02:40:00,"Urban",0.81,123
2023-01-01 02:41:00,"Suburban",0.11,17
2023-01-01 02:42:00,"Rural",0.09,23
2023-01-01 02:43:00,"Rural",0.24,111
2023-01-01 02:44:00,"Urban",0.9,28
2023-01-01 02:45:00,"Suburban",0.88,23
2023-01-01 02:46:00,"Urban",0.4,78
2023-01-01 02:47:00,"Suburban",0.61,75
2023-01-01 02:48:00,"Rural",0.23,15
2023-01-01 02:49:00,"Rural",0.69,27
2023-01-01 02:50:00,"Urban",0.14,73
2023-01-01 02:51:00,"Rural",0.59,132
2023-01-01 02:52:00,"Suburban",0.86,9
2023-01-01 02:53:00,"Urban",0.37,63
2023-01-01 02:54:00,"Urban",0.06,33
2023-01-01 02:55:00,"Suburban",0.86,26
2023-01-01 02:56:00,"Rural",0.55,146
2023-01-01 02:57:00,"Urban",0.99,69
2023-01-01 02:58:00,"Suburban",0.28,107
2023-01-01 02:59:00,"Suburban",0.44,125
2023-01-01 03:00:00,"Urban",0.22,66
2023-01-01 03:01:00,"Suburban",0.36,99
2023-01-01 03:02:00,"Urban",0.44,18
2023-01-01 03:03:00,"Urban",0.66,62
2023-01-01 03:04:00,"Suburban",0.52,118
2023-01-01 03:05:00,"Urban",0.72,53
2023-01-01 03:06:00,"Rural",0.36,21
2023-01-01 03:07:00,"Urban",0.48,77
2023-01-01 03:08:00,"Urban",0.23,46
2023-01-01 03:09:00,"Suburban",0.88,121
2023-01-01 03:10:00,"Urban",0.77,21
2023-01-01 03:11:00,"Suburban",0.61,65
2023-01-01 03:12:00,"Urban",0.75,39
2023-01-01 03:13:00,"Urban",0.86,14
2023-01-01 03:14:00,"Urban",0.95,119
2023-01-01 03:15:00,"Rural",0.99,133
2023-01-01 03:16:00,"Rural",0.16,40
2023-01-01 03:17:00,"Suburban",0.31,39
2023-01-01 03:18:00,"Urban",0.16,140
2023-01-01 03:19:00,"Suburban",0.47,111
2023-01-01 03:20:00,"Rural",0.21,89
2023-01-01 03:21:00,"Suburban",0.32,103
2023-01-01 03:22:00,"Rural",0.13,75
2023-01-01 03:23:00,"Suburban",0.29,18
2023-01-01 03:24:00,"Rural",0.98,14
2023-01-01 03:25:00,"Urban",0.19,134
2023-01-01 03:26:00,"Urban",0.01,95
2023-01-01 03:27:00,"Urban",0.5,74
2023-01-01 03:28:00,"Urban",0.08,69
2023-01-01 03:29:00,"Rural",0.11,42
2023-01-01 03:30:00,"Suburban",0.22,111
2023-01-01 03:31:00,"Urban",0.04,53
2023-01-01 03:32:00,"Suburban",0.41,25
2023-01-01 03:33:00,"Urban",0.49,30
2023-01-01 03:34:00,"Rural",0.44,143
2023-01-01 03:35:00,"Rural",0.19,138
2023-01-01 03:36:00,"Urban",0.84,96
2023-01-01 03:37:00,"Suburban",0.09,70
2023-01-01 03:38:00,"Rural",0.9,26
2023-01-01 03:39:00,"Urban",0.31,98
2023-01-01 03:40:00,"Rural",0.15,79
2023-01-01 03:41:00,"Suburban",0.26,123
2023-01-01 03:42:00,"Urban",0.59,81
2023-01-01 03:43:00,"Urban",0.46,96
2023-01-01 03:44:00,"Urban",0.05,94
2023-01-01 03:45:00,"Urban",0.07,4
2023-01-01 03:46:00,"Urban",0.81,12
2023-01-01 03:47:00,"Rural",0.83,106
2023-01-01 03:48:00,"Suburban",0.19,120
2023-01-01 03:49:00,"Suburban",0.32,42
2023-01-01 03:50:00,"Suburban",0.67,26
2023-01-01 03:51:00,"Rural",0.93,15
2023-01-01 03:52:00,"Urban",0.16,45
2023-01-01 03:53:00,"Suburban",0.97,31
2023-01-01 03:54:00,"Suburban",0.51,105
2023-01-01 03:55:00,"Urban",0.49,47
2023-01-01 03:56:00,"Suburban",0.5,50
2023-01-01 03:57:00,"Urban",0.54,34
2023-01-01 03:58:00,"Urban",0.14,65
2023-01-01 03:59:00,"Suburban",0.98,64
2023-01-01 04:00:00,"Rural",0.65,30
2023-01-01 04:01:00,"Urban",0.21,139
2023-01-01 04:02:00,"Rural",1,30
2023-01-01 04:03:00,"Urban",0.1,145
2023-01-01 04:04:00,"Suburban",0.51,109
2023-01-01 04:05:00,"Urban",0.96,9
2023-01-01 04:06:00,"Suburban",0.34,125
2023-01-01 04:07:00,"Suburban",0.06,52
2023-01-01 04:08:00,"Suburban",0.3,19
2023-01-01 04:09:00,"Rural",0.25,55
2023-01-01 04:10:00,"Urban",0.36,36
2023-01-01 04:11:00,"Urban",0.24,59
2023-01-01 04:12:00,"Urban",0.57,39
2023-01-01 04:13:00,"Urban",0.26,96
2023-01-01 04:14:00,"Rural",0.19,7
2023-01-01 04:15:00,"Urban",0.27,110
2023-01-01 04:16:00,"Suburban",0.94,62
2023-01-01 04:17:00,"Urban",0.92,46
2023-01-01 04:18:00,"Suburban",0.73,89
2023-01-01 04:19:00,"Suburban",0.67,8
2023-01-01 04:20:00,"Urban",0.82,72
2023-01-01 04:21:00,"Urban",0.13,87
2023-01-01 04:22:00,"Urban",0.92,56
2023-01-01 04:23:00,"Urban",0.57,121
2023-01-01 04:24:00,"Rural",0.14,111
2023-01-01 04:25:00,"Urban",0.1,27
2023-01-01 04:26:00,"Urban",0.17,150
2023-01-01 04:27:00,"Urban",0.62,116
2023-01-01 04:28:00,"Suburban",0.63,2
2023-01-01 04:29:00,"Suburban",0.2,43
2023-01-01 04:30:00,"Rural",0.32,6
2023-01-01 04:31:00,"Suburban",0.24,25
2023-01-01 04:32:00,"Rural",0.7,91
2023-01-01 04:33:00,"Urban",0.01,20
2023-01-01 04:34:00,"Urban",0.47,140
2023-01-01 04:35:00,"Urban",0.19,132
2023-01-01 04:36:00,"Urban",0.76,9
2023-01-01 04:37:00,"Urban",0.06,112
2023-01-01 04:38:00,"Rural",0.05,69
2023-01-01 04:39:00,"Urban",0.19,80
2023-01-01 04:40:00,"Urban",0.76,134
2023-01-01 04:41:00,"Rural",0.56,128
2023-01-01 04:42:00,"Rural",0.03,122
2023-01-01 04:43:00,"Suburban",0.65,28
2023-01-01 04:44:00,"Urban",0.49,82
2023-01-01 04:45:00,"Urban",0.24,141
2023-01-01 04:46:00,"Urban",0.68,77
2023-01-01 04:47:00,"Suburban",0.06,5
2023-01-01 04:48:00,"Urban",0.21,110
2023-01-01 04:49:00,"Suburban",0.77,19
2023-01-01 04:50:00,"Urban",0.93,62
2023-01-01 04:51:00,"Urban",0.6,92
2023-01-01 04:52:00,"Rural",0.59,143
2023-01-01 04:53:00,"Rural",0.84,11
2023-01-01 04:54:00,"Suburban",0.05,43
2023-01-01 04:55:00,"Suburban",0.46,54
2023-01-01 04:56:00,"Urban",0.94,37
2023-01-01 04:57:00,"Rural",0.52,119
2023-01-01 04:58:00,"Urban",0.62,124
2023-01-01 04:59:00,"Urban",0.39,60
2023-01-01 05:00:00,"Suburban",0.39,99
2023-01-01 05:01:00,"Urban",0.99,45
2023-01-01 05:02:00,"Suburban",0.77,136
2023-01-01 05:03:00,"Suburban",0.4,148
2023-01-01 05:04:00,"Suburban",0.11,3
2023-01-01 05:05:00,"Suburban",0.14,128
2023-01-01 05:06:00,"Rural",0.5,67
2023-01-01 05:07:00,"Rural",0.74,19
2023-01-01 05:08:00,"Rural",0.61,51
2023-01-01 05:09:00,"Rural",0.98,18
2023-01-01 05:10:00,"Urban",0,53
2023-01-01 05:11:00,"Rural",0.04,137
2023-01-01 05:12:00,"Rural",0.34,127
2023-01-01 05:13:00,"Rural",0.88,64
2023-01-01 05:14:00,"Suburban",0.24,12
2023-01-01 05:15:00,"Rural",0.46,124
2023-01-01 05:16:00,"Rural",0.64,83
2023-01-01 05:17:00,"Rural",0.41,119
2023-01-01 05:18:00,"Urban",0.87,131
2023-01-01 05:19:00,"Urban",0.42,138
2023-01-01 05:20:00,"Rural",0.56,114
2023-01-01 05:21:00,"Suburban",0,76
2023-01-01 05:22:00,"Rural",0.21,5
2023-01-01 05:23:00,"Suburban",0.95,65
2023-01-01 05:24:00,"Urban",0.47,46
2023-01-01 05:25:00,"Suburban",0.86,75
2023-01-01 05:26:00,"Suburban",0.16,25
2023-01-01 05:27:00,"Suburban",0.61,116
2023-01-01 05:28:00,"Urban",0.16,27
2023-01-01 05:29:00,"Urban",0.7,128
2023-01-01 05:30:00,"Urban",0.01,29
2023-01-01 05:31:00,"Rural",0.03,66
2023-01-01 05:32:00,"Rural",0.4,114
2023-01-01 05:33:00,"Urban",0.29,88
2023-01-01 05:34:00,"Urban",0.72,22
2023-01-01 05:35:00,"Rural",0.24,113
2023-01-01 05:36:00,"Urban",0.61,118
2023-01-01 05:37:00,"Rural",0.45,7
2023-01-01 05:38:00,"Suburban",0.15,77
2023-01-01 05:39:00,"Urban",0.6,102
2023-01-01 05:40:00,"Urban",0.32,17
2023-01-01 05:41:00,"Rural",0.19,85
2023-01-01 05:42:00,"Suburban",0.87,90
2023-01-01 05:43:00,"Rural",0.81,15
2023-01-01 05:44:00,"Suburban",0.77,131
2023-01-01 05:45:00,"Urban",0.64,130
2023-01-01 05:46:00,"Suburban",0.71,96
2023-01-01 05:47:00,"Rural",0.61,143
2023-01-01 05:48:00,"Suburban",0.37,125
2023-01-01 05:49:00,"Rural",0.9,40
2023-01-01 05:50:00,"Rural",0.48,97
2023-01-01 05:51:00,"Urban",0.43,47
2023-01-01 05:52:00,"Suburban",0.13,83
2023-01-01 05:53:00,"Urban",0.46,100
2023-01-01 05:54:00,"Suburban",0.52,2
2023-01-01 05:55:00,"Suburban",0.11,44
2023-01-01 05:56:00,"Suburban",0.66,126
2023-01-01 05:57:00,"Suburban",0.29,48
2023-01-01 05:58:00,"Urban",0.52,9
2023-01-01 05:59:00,"Suburban",0.45,72
2023-01-01 06:00:00,"Urban",0.58,13
2023-01-01 06:01:00,"Suburban",0.63,111
2023-01-01 06:02:00,"Urban",0.01,103
2023-01-01 06:03:00,"Rural",0.12,38
2023-01-01 06:04:00,"Suburban",0.61,99
2023-01-01 06:05:00,"Urban",0.76,31
2023-01-01 06:06:00,"Rural",0.37,94
2023-01-01 06:07:00,"Suburban",0.72,77
2023-01-01 06:08:00,"Rural",0.1,143
2023-01-01 06:09:00,"Suburban",0.14,77
2023-01-01 06:10:00,"Rural",0.38,125
2023-01-01 06:11:00,"Rural",0.41,57
2023-01-01 06:12:00,"Urban",0.58,41
2023-01-01 06:13:00,"Suburban",0.73,143
2023-01-01 06:14:00,"Rural",0.17,21
2023-01-01 06:15:00,"Urban",0.37,113
2023-01-01 06:16:00,"Urban",0.51,141
2023-01-01 06:17:00,"Rural",0.65,24
2023-01-01 06:18:00,"Suburban",0.12,59
2023-01-01 06:19:00,"Rural",0.5,41
2023-01-01 06:20:00,"Suburban",0.14,74
2023-01-01 06:21:00,"Suburban",0.11,67
2023-01-01 06:22:00,"Suburban",0.97,133
2023-01-01 06:23:00,"Urban",0.25,56
2023-01-01 06:24:00,"Suburban",0.78,52
2023-01-01 06:25:00,"Urban",0.82,125
2023-01-01 06:26:00,"Urban",0.06,50
2023-01-01 06:27:00,"Urban",0.88,15
2023-01-01 06:28:00,"Suburban",0.41,33
2023-01-01 06:29:00,"Suburban",0.02,15
2023-01-01 06:30:00,"Rural",0.55,116
2023-01-01 06:31:00,"Rural",0.98,140
2023-01-01 06:32:00,"Urban",0.38,29
2023-01-01 06:33:00,"Suburban",0.59,146
2023-01-01 06:34:00,"Suburban",0.86,2
2023-01-01 06:35:00,"Rural",0.53,98
2023-01-01 06:36:00,"Rural",0.99,21
2023-01-01 06:37:00,"Rural",0.83,44
2023-01-01 06:38:00,"Rural",0.28,68
2023-01-01 06:39:00,"Suburban",0.65,31
2023-01-01 06:40:00,"Urban",0.8,26
2023-01-01 06:41:00,"Urban",0.76,40
2023-01-01 06:42:00,"Rural",0.87,92
2023-01-01 06:43:00,"Urban",0.75,101
2023-01-01 06:44:00,"Suburban",0.66,93
2023-01-01 06:45:00,"Suburban",0.44,140
2023-01-01 06:46:00,"Rural",0.68,8
2023-01-01 06:47:00,"Suburban",0.5,90
2023-01-01 06:48:00,"Urban",0.89,60
2023-01-01 06:49:00,"Rural",0.84,75
2023-01-01 06:50:00,"Urban",0.55,123
2023-01-01 06:51:00,"Urban",0.48,4
2023-01-01 06:52:00,"Rural",0.02,98
2023-01-01 06:53:00,"Suburban",0.43,36
2023-01-01 06:54:00,"Urban",0.67,81
2023-01-01 06:55:00,"Urban",0.54,21
2023-01-01 06:56:00,"Suburban",0.1,6
2023-01-01 06:57:00,"Suburban",0.57,132
2023-01-01 06:58:00,"Suburban",0.27,83
2023-01-01 06:59:00,"Suburban",0.6,45
2023-01-01 07:00:00,"Urban",0.41,138
2023-01-01 07:01:00,"Rural",0.26,56
2023-01-01 07:02:00,"Rural",0.02,134
2023-01-01 07:03:00,"Suburban",0.5,79
2023-01-01 07:04:00,"Rural",0.43,48
2023-01-01 07:05:00,"Rural",0.31,123
2023-01-01 07:06:00,"Rural",0.81,123
2023-01-01 07:07:00,"Suburban",0.04,149
2023-01-01 07:08:00,"Rural",0.27,122
2023-01-01 07:09:00,"Rural",0.54,36
2023-01-01 07:10:00,"Suburban",0.07,138
2023-01-01 07:11:00,"Suburban",0.83,128
2023-01-01 07:12:00,"Rural",0.38,119
2023-01-01 07:13:00,"Suburban",0.24,75
2023-01-01 07:14:00,"Rural",0.28,12
2023-01-01 07:15:00,"Suburban",0.81,58
2023-01-01 07:16:00,"Suburban",0.62,116
2023-01-01 07:17:00,"Urban",0.28,60
2023-01-01 07:18:00,"Suburban",0.27,3
2023-01-01 07:19:00,"Rural",0.86,53
2023-01-01 07:20:00,"Urban",0.24,130
2023-01-01 07:21:00,"Urban",0.38,92
2023-01-01 07:22:00,"Rural",0.64,135
2023-01-01 07:23:00,"Suburban",0.25,125
2023-01-01 07:24:00,"Urban",0.69,90
2023-01-01 07:25:00,"Urban",0.85,140
2023-01-01 07:26:00,"Rural",0.87,4
2023-01-01 07:27:00,"Rural",0.15,61
2023-01-01 07:28:00,"Rural",0.86,129
2023-01-01 07:29:00,"Urban",0.13,98
